id,name,price,stock,image,category,views,slug
ac6329e7,Phone Snack,180.37,90,1300362233ee4996bc1ff881e1cda67f.jpg,Pineapple Juice,165,phone-snack
25c2d256,Ever Jam,9400.49,44,0f5213047ae84bfc924d2992017b9efc.jpg,Pineapple Juice,163,ever-jam
40fc5609,Other Fertilizer,9624.52,61,627daf292bef4c5fb0df0af7eb9dfa2d.jpg,Pineapple Jam,66,other-fertilizer
ddaa7b55,Reach Jam,8377.35,77,2223a9c099c947d690d0abb49d9a7e9c.jpg,Pineapple Juice,265,reach-jam
3a4bcfaf,Stuff Candy,9737.59,5,11e0aeb9593d4f71b8fab2739bb96a13.jpg,Organic Fertilizer,443,stuff-candy
520c3bde,Position Snack,7144.54,13,3cd26646563c4849a71dd2a5d3c191a6.jpg,Pineapple Juice,78,position-snack
562503ac,Event Candy,4532.76,5,2ce5526067114a5185edb6a23bbe3094.jpg,Organic Fertilizer,170,event-candy
6953b9fb,Leg Fertilizer,8438.37,70,9622ab03bd39401aa0489cb7664c6c78.jpg,Fresh Pineapples,117,leg-fertilizer
b5b7781d,Agreement Snack,7850.0,47,6209c6358fbe4e72848e5fabecee18fa.jpg,Organic Fertilizer,362,agreement-snack
39dc21c4,Care Jam,9749.56,80,ddfe85dfd9f644c7a18a0ec067249f1c.jpg,Pineapple Candy,107,care-jam
7a4682f1,Moment Jam,9133.37,99,5828aa132bc841bdaa63181655bdf075.jpg,Pineapple Jam,425,moment-jam
907ab78f,Open Jam,9989.08,21,be12bfe309104293ae67533ea39f1b6a.jpg,Pineapple Juice,221,open-jam
2edebf6f,North Snack,458.78,10,669bf6bb8f044d5d9dfa4874163500fb.jpg,Pineapple Jam,319,north-snack
85017710,Set Snack,9583.29,19,fdb255388da147028ab9613d25e8edbc.jpg,Pineapple Candy,34,set-snack
593636a2,Him Jam,5082.69,48,23532079ef594478b6ed2127240439fd.jpg,Pineapple Candy,21,him-jam
9a08392d,Cut Pineapple,3771.22,18,f5f4fe645ab743769abf9e1d00475f04.jpg,Pineapple Jam,308,cut-pineapple
