id,term,count
d60da1bd,Beat,37
5991bab0,Today,31
ea43e2b7,Such,73
03041b67,Reduce,49
ba741962,By,62
8538028c,Base,55
4efb8676,Cut,85
43df9066,Guy,81
92f0cfe1,Really,56
fd7feeaa,Pattern,16
10c4aa6c,Prepare,46
0608fa7d,Able,63
a9e0d67d,Music,32
c6a1fa63,Standard,73
40909e7d,Budget,97
70e613de,Approach,12
baae22d0,Network,17
9d744d53,Old,14
0c39411c,Ever,18
7fdee695,Sister,96
f1883151,Structure,55
98445e94,Section,84
2a97685b,Possible,32
54f74f57,Election,55
7fe2c333,World,1
5883299d,Thing,93
a593d046,Art,20
5776e2e3,Seat,40
e5661054,Eye,98
66bf8bae,More,63
1813671f,Plant,52
add16f32,While,96
cc79565d,Daughter,52
d98bd7be,Campaign,96
f35ae98b,Out,45
714e6ce0,Still,96
0a86f485,Church,84
9e5922c4,Affect,96
1fc54afa,While,42
873f8c9b,Others,22
350a57f3,Some,5
5f27532e,Behind,80
6fff561d,Energy,46
5fe030c9,Point,45
7b108c9b,Return,34
71d205ba,Art,84
aaf406b2,Every,90
a65204da,Seven,17
b9223bdb,Statement,80
58859fe6,Team,7
db4092ab,Concern,34
0bcc750f,After,24
6ec13781,Evidence,88
9dbb2ad3,Describe,64
70848022,Explain,9
120f94d6,Exist,89
089c4c80,Suddenly,47
138720f2,Until,35
095a03ff,Agent,57
8cd16bd0,Buy,20
5a4c61ee,Will,30
17cc9534,Offer,24
2301c6b3,World,25
fb028fd0,Well,50
5355c8bf,Push,89
3b0e90d8,Military,82
c02c6a05,Team,95
f24803ef,Laugh,44
9996de5f,Watch,85
95e58b31,Work,16
baacf98d,Between,63
d0d222fe,Itself,50
dd077f2b,Thousand,66
8f1bcc5b,Wife,11
9a1b5696,Thing,37
fd9dee1a,Clearly,52
7021a60e,Third,25
b55552ae,Then,67
525327a8,Data,15
10cda8c7,Rule,35
7a742985,Table,24
41f28c18,Sometimes,19
668e8404,North,25
c6408d6f,Make,77
167531d8,By,79
aa209394,Oil,31
999c64a8,Wall,17
32867156,Continue,67
1d4b7ec1,Chance,23
92b61a06,Everything,20
cebbea18,Parent,49
09655b56,Floor,66
65280d97,Lose,19
0e0129ea,Act,95
3030d1c8,Position,46
e331b7b1,Research,75
46de8c88,Film,46
2609f4f1,Something,54
a65c3e63,Audience,23
9cd5721b,Street,88
4440a0b6,Senior,96
d7e378ee,East,74
262a99f2,Wall,23
114d517a,Loss,64
5769b05a,Church,67
99736073,Process,80
fd7e211d,Around,3
621c06be,Size,2
0978d9b8,Detail,62
4e0e77cd,Night,59
66527668,Positive,97
40021b36,Summer,59
10a9b281,Table,89
d695e672,Politics,67
d368d0ee,None,100
06425ed1,Smile,100
d97ce362,Water,39
b8390e6b,Listen,78
1b863602,Smile,83
c0406645,Town,67
6af1942f,Experience,41
4d693c48,These,76
2e3297e8,Run,68
be736abd,Born,41
dcf2fdca,Media,20
7f752635,Development,42
ac8196e7,Down,77
5d028e06,Scene,70
cb3d84b5,Pay,32
1020b282,We,45
ee40dd64,Weight,90
a9412984,Attack,85
dd4bc117,Republican,28
34702215,Total,100
dc3adfa4,After,62
686f2029,Marriage,41
d8318048,Analysis,80
5fb61e4f,First,2
94b66fdc,Radio,27
16f1b6c1,Kitchen,10
8367a94b,About,98
e328d4f4,Still,100
a0481ca8,Range,90
6bb08326,Research,81
a04768b0,Various,21
13228b7b,Question,67
eda719fd,Yard,20
96f74c78,Now,37
ca2c747f,North,55
ac6ebb02,Mr,95
fe91c7ed,Add,45
057dc239,Anything,30
81e8c8a4,Southern,24
81b2b936,Question,25
129f3106,Agent,6
e692e012,Condition,76
bff91a1f,Toward,54
83894d8c,Girl,59
88f234c0,Area,54
003b9de9,Mind,98
ed922f6f,Throw,56
cc29f8bb,Smile,42
153cb227,Response,28
43b11f50,Discussion,75
d5bf3439,Apply,35
eedb68a3,Manager,36
28db7dea,Issue,91
a3394598,Admit,31
f2681ba5,Safe,100
523e7b46,Hope,37
6c6a68a3,Push,4
11eaed63,Sometimes,5
3eb01fb5,Into,32
2c771cb5,Move,20
6048eb73,Walk,55
ba2702a2,Range,83
b94d63ed,Rise,82
868d761a,Evidence,76
a8d41edc,Consumer,25
b944fc4a,Ever,12
3ca2cc80,Goal,11
f7332448,Future,43
7a513e29,Vote,73
fbe9fac8,Society,90
9af964c7,Expect,38
3bb8b257,Explain,72
d50ef489,But,90
611c674b,Item,51
2617db35,Effort,18
ed029b76,Reflect,75
b7a09d7e,Control,92
c7ad6110,Today,46
19c2109a,Head,71
c58aabdb,Though,43
46bfe603,Table,32
88eef812,Someone,58
55b63ec4,Will,43
d6840627,Watch,50
c641ecd6,Coach,87
05053a9d,Hotel,56
6afdba50,World,95
f773c1af,Grow,17
41eb01d0,Pressure,44
fde0446b,Feel,20
36225b38,Culture,66
1d904916,Answer,81
cf8997c7,Paper,57
c343d3a7,Successful,95
a0a1ea4e,Live,85
338107fa,Seem,15
